Date,Open,High,Low,Close,Adj Close,Volume
12/23/2019,158.119995,158.119995,157.270004,157.410004,154.465179,17718200
12/24/2019,157.479996,157.710007,157.119995,157.380005,154.435715,8989200
12/26/2019,157.559998,158.729996,157.399994,158.669998,155.701584,14520600
12/27/2019,159.449997,159.550003,158.220001,158.960007,155.986176,18412800
12/30/2019,158.990005,159.020004,156.729996,157.589996,154.641785,16348400
12/31/2019,156.770004,157.770004,156.449997,157.699997,154.749756,18369400
1/2/2020,158.779999,160.729996,158.330002,160.619995,157.615128,22622100
1/3/2020,158.320007,159.949997,158.059998,158.619995,155.652542,21116200
1/6/2020,157.080002,159.100006,156.509995,159.029999,156.054855,20813700
1/7/2020,159.320007,159.669998,157.320007,157.580002,154.631989,21634100
1/8/2020,158.929993,160.800003,157.949997,160.089996,157.095032,27746500
1/9/2020,161.839996,162.220001,161.029999,162.089996,159.057617,21385000
1/10/2020,162.820007,163.220001,161.179993,161.339996,158.321655,20725900
1/13/2020,161.759995,163.309998,161.259995,163.279999,160.225342,21626500
1/14/2020,163.389999,163.600006,161.720001,162.130005,159.096909,23477400
1/15/2020,162.619995,163.940002,162.570007,163.179993,160.127197,21417900
1/16/2020,164.350006,166.240005,164.029999,166.169998,163.061264,23865400
1/17/2020,167.419998,167.470001,165.429993,167.100006,163.973892,34371700
1/21/2020,166.679993,168.190002,166.429993,166.5,163.385117,29517200
1/22/2020,167.399994,167.490005,165.679993,165.699997,162.600067,24138800
1/23/2020,166.190002,166.800003,165.270004,166.720001,163.600998,19680800
1/24/2020,167.509995,167.529999,164.449997,165.039993,161.952423,24918100
1/27/2020,161.149994,163.380005,160.199997,162.279999,159.244049,32078100
1/28/2020,163.779999,165.759995,163.070007,165.460007,162.364578,24899900
1/29/2020,167.839996,168.75,165.690002,168.039993,164.896317,34754500
1/30/2020,174.050003,174.050003,170.789993,172.779999,169.547623,51597500
1/31/2020,172.210007,172.399994,169.580002,170.229996,167.045319,36142700
2/3/2020,170.429993,174.5,170.399994,174.380005,171.117691,30107000
2/4/2020,177.139999,180.639999,176.309998,180.119995,176.75032,36433300
2/5/2020,184.029999,184.199997,178.410004,179.899994,176.534409,39186300
2/6/2020,180.970001,183.820007,180.059998,183.630005,180.194641,27751400
2/7/2020,182.850006,185.630005,182.479996,183.889999,180.449768,33529100
2/10/2020,183.580002,188.839996,183.25,188.699997,185.169769,35844300
2/11/2020,190.649994,190.699997,183.5,184.440002,180.989487,53159900
2/12/2020,185.580002,185.850006,181.850006,184.710007,181.254425,47062900
2/13/2020,183.080002,186.229996,182.869995,183.710007,180.273148,35295800
2/14/2020,183.25,185.410004,182.649994,185.350006,181.882477,23149500
2/18/2020,185.610001,187.699997,185.5,187.229996,183.727295,27792200
2/19/2020,188.059998,188.179993,186.470001,187.279999,184.27832,29997500
2/20/2020,186.949997,187.25,181.100006,184.419998,181.464172,36862400
2/21/2020,183.169998,183.5,177.25,178.589996,175.72757,48572600
2/24/2020,167.770004,174.550003,163.229996,170.889999,168.151031,68311100
2/25/2020,174.199997,174.839996,167.649994,168.070007,165.376221,68073300
2/26/2020,169.710007,173.259995,168.210007,170.169998,167.442551,56206100
2/27/2020,163.320007,167.029999,157.979996,158.179993,155.64473,93174900
2/28/2020,152.410004,163.710007,152,162.009995,159.41333,97012700
3/2/2020,165.309998,172.919998,162.309998,172.789993,170.020569,71030800
3/3/2020,173.800003,175,162.259995,164.509995,161.873276,71677000
3/4/2020,168.490005,170.699997,165.619995,170.550003,167.816483,49814400
3/5/2020,166.050003,170.869995,165.690002,166.270004,163.605072,47817300
3/6/2020,162.610001,163.110001,156,161.570007,158.980408,72821100
3/9/2020,151,157.75,150,150.619995,148.205887,70419300
3/10/2020,158.160004,161.029999,152.580002,160.919998,158.340805,65354400
3/11/2020,157.130005,157.699997,151.149994,153.630005,151.167664,56371600
3/12/2020,145.300003,153.470001,138.580002,139.059998,136.831161,93226400
3/13/2020,147.5,161.910004,140.729996,158.830002,156.284302,92727400
3/16/2020,140,149.350006,135,135.419998,133.249512,87905900
3/17/2020,140,147.5,135,146.570007,144.220825,81059800
3/18/2020,138,146,135.020004,140.399994,138.149719,81593200
3/19/2020,142.770004,150.149994,139,142.710007,140.422684,85922700
3/20/2020,146,147.100006,135.860001,137.350006,135.148621,84866200
3/23/2020,137.009995,140.570007,132.520004,135.979996,133.800537,78975200
3/24/2020,143.75,149.600006,141.270004,148.339996,145.962418,82516700
3/25/2020,148.910004,154.330002,144.440002,146.919998,144.565186,75638200
3/26/2020,148.399994,156.660004,148.369995,156.110001,153.607895,64568100
3/27/2020,151.75,154.889999,149.199997,149.699997,147.300644,57042300
3/30/2020,152.440002,160.600006,150.009995,160.229996,157.661865,63420300
3/31/2020,159.399994,164.779999,156.559998,157.710007,155.182251,77927200
4/1/2020,153,157.75,150.820007,152.110001,149.672012,57969900
4/2/2020,151.860001,155.479996,150.360001,155.259995,152.771515,49630700
4/3/2020,155.100006,157.380005,152.190002,153.830002,151.364456,41243300
4/6/2020,160.320007,166.5,157.580002,165.270004,162.621094,67111700
4/7/2020,169.589996,170,163.259995,163.490005,160.869614,62769000
4/8/2020,165.669998,166.669998,163.5,165.130005,162.483353,48318200
4/9/2020,166.360001,167.369995,163.330002,165.139999,162.493164,51385100
4/13/2020,164.350006,165.570007,162.300003,165.509995,162.857224,41905300
4/14/2020,169,173.75,168,173.699997,170.91597,52874300
4/15/2020,171.199997,173.570007,169.240005,171.880005,169.125153,40940800
4/16/2020,174.300003,177.279999,172.899994,177.039993,174.202454,50479600
4/17/2020,179.5,180,175.869995,178.600006,175.737457,52765600
4/20/2020,176.630005,178.75,174.990005,175.059998,172.254196,36669600
4/21/2020,173.5,173.669998,166.110001,167.820007,165.130219,56203700
4/22/2020,171.389999,174,170.820007,173.520004,170.738861,34620200
4/23/2020,174.110001,175.059998,170.910004,171.419998,168.672516,32790800
4/24/2020,172.059998,174.559998,170.710007,174.550003,171.752365,34277600
4/27/2020,176.589996,176.899994,173.300003,174.050003,171.260391,33194400
4/28/2020,175.589996,175.669998,169.389999,169.809998,167.088318,34392700
4/29/2020,173.220001,177.679993,171.880005,177.429993,174.586182,51286600
4/30/2020,180,180.399994,176.229996,179.210007,176.337662,53875900
5/1/2020,175.800003,178.639999,174.009995,174.570007,171.772034,39370500
5/4/2020,174.490005,179,173.800003,178.839996,175.973602,30372900
5/5/2020,180.619995,183.649994,179.899994,180.759995,177.862808,36839200
5/6/2020,182.080002,184.199997,181.630005,182.539993,179.614273,32139300
5/7/2020,184.169998,184.550003,182.580002,183.600006,180.657288,28316000
5/8/2020,184.979996,185,183.360001,184.679993,181.720001,30877800
5/11/2020,183.149994,187.509995,182.850006,186.740005,183.746979,30892700
5/12/2020,186.800003,187.039993,182.300003,182.509995,179.584778,32038200
